Year ,Row,Image_Id,northing (m),easting (m),elevation (m),salinity (psu),Sarc,Spart,Limon,Bor,Batis,Juncus,Mud,snails (number per image)
2014,1,DSC_2779,-7.178863636,-6.009545455,0.828363636,46.00586374,12,0,0,0,0,0,3,4
,,,,,,,,,,,,,,
2014,1,DSC_2755,-1.435772727,-1.201909091,0.803272727,45.98278194,5,3,0,0,0,0,10,4
,,,,,,,,,,,,,,
2014,1,DSC_2785,-8.614636364,-7.211454545,0.834636364,46.01163419,13,7,0,0,0,0,0,39
,,,,,,,,,,,,,,
2014,1,DSC_2783,-8.136045455,-6.810818182,0.832545455,46.00971071,15,0,0,0,0,0,0,8
,,,,,,,,,,,,,,
2014,1,DSC_2751,-0.478590909,-0.400636364,0.799090909,45.97893498,13,15,0,0,0,0,0,17
,,,,,,,,,,,,,,
2014,1,DSC_2793,-10.529,-8.814,0.843,46.01932812,12,11,6,0,12,0,0,32
,,,,,,,,,,,,,,
2014,1,DSC_2752,-0.717886364,-0.600954545,0.800136364,45.97989672,12,15,0,0,0,0,0,19
,,,,,,,,,,,,,,
2014,1,DSC_2753,-0.957181818,-0.801272727,0.801181818,45.98085846,10,12,1,0,0,0,1,37
,,,,,,,,,,,,,,
2014,2,DSC_2844,-6.093446735,-4.649670103,0.785112937,57.6939109,15,0,0,0,0,0,0,12
,,,,,,,,,,,,,,
2014,2,DSC_2843,-6.210171821,-4.759257732,0.786636281,57.38668503,15,0,0,0,0,0,0,18
,,,,,,,,,,,,,,
2014,2,DSC_2832,-7.494147766,-5.964721649,0.803393062,54.00720055,13,13,5,0,13,1,0,20
,,,,,,,,,,,,,,
2014,2,DSC_2824,-8.427948454,-6.84142268,0.815579812,51.54939365,10,14,6,0,10,1,0,17
,,,,,,,,,,,,,,
2014,2,DSC_2854,-4.926195876,-3.553793814,0.7698795,60.76616952,15,7,0,0,1,0,0,20
,,,,,,,,,,,,,,
2014,2,DSC_2859,-4.342570447,-3.00585567,0.768810066,59.57596772,11,1,0,0,0,0,4,9
,,,,,,,,,,,,,,
2014,2,DSC_2867,-3.408769759,-2.129154639,0.768636339,57.28962094,11,12,0,0,0,0,2,29
,,,,,,,,,,,,,,
2014,2,DSC_2831,-7.610872852,-6.074309278,0.804916406,53.69997469,11,10,7,0,9,1,0,9
,,,,,,,,,,,,,,
2014,2,DSC_2891,-0.607367698,0.500948454,0.788093252,46.45085703,10,15,1,0,4,0,0,20
,,,,,,,,,,,,,,
2014,2,DSC_2880,-1.891343643,-0.704515464,0.778288396,51.0860409,10,15,3,0,3,0,0,19
,,,,,,,,,,,,,,
2014,2,DSC_2845,-5.976721649,-4.540082474,0.783589594,58.00113676,15,2,0,0,0,0,0,20
,,,,,,,,,,,,,,
2014,2,DSC_2820,-8.894848797,-7.279773196,0.821673187,50.3204902,8,15,0,0,0,0,0,65
,,,,,,,,,,,,,,
2014,2,DSC_2871,-2.941869416,-1.690804124,0.771191227,55.23133715,13,15,0,0,0,0,0,73
,,,,,,,,,,,,,,
2014,2,DSC_2860,-4.225845361,-2.896268041,0.768776167,59.26297935,6,0,0,0,0,0,9,2
,,,,,,,,,,,,,,
2014,2,DSC_2813,-9.711924399,-8.046886598,0.832336594,48.16990916,11,8,0,0,0,0,0,40
,,,,,,,,,,,,,,
2014,2,DSC_2853,-5.042920962,-3.663381443,0.771402843,60.45894366,15,7,0,0,2,0,0,28
,,,,,,,,,,,,,,
2014,2,DSC_2833,-7.37742268,-5.855134021,0.801869719,54.31442641,11,15,7,0,11,0,0,31
,,,,,,,,,,,,,,
2014,2,DSC_2879,-2.008068729,-0.814103093,0.777499822,51.54662937,11,15,3,0,3,0,0,21
,,,,,,,,,,,,,,
2014,2,DSC_2836,-7.027247423,-5.526371134,0.797299687,55.236104,11,15,0,0,0,0,0,46
,,,,,,,,,,,,,,
2014,2,DSC_2850,-5.39309622,-3.99214433,0.775972875,59.53726607,13,13,1,0,1,1,0,52
,,,,,,,,,,,,,,
2014,2,DSC_2897,0.092982818,1.158474227,0.801879959,47.14181923,5,15,5,0,1,0,0,15
,,,,,,,,,,,,,,
2014,2,DSC_2893,-0.373917526,0.720123711,0.792688821,46.68117776,10,15,2,0,2,0,0,7
,,,,,,,,,,,,,,
2014,2,DSC_2834,-7.260697595,-5.745546392,0.800346375,54.62165227,10,14,0,0,6,1,0,31
,,,,,,,,,,,,,,
2014,2,DSC_2815,-9.478474227,-7.82771134,0.829289906,48.78436089,15,1,0,0,0,0,0,15
,,,,,,,,,,,,,,
2014,2,DSC_2866,-3.525494845,-2.238742268,0.768572773,57.38504916,4,2,0,0,0,0,11,2
,,,,,,,,,,,,,,
2014,2,DSC_2825,-8.311223368,-6.731835052,0.814056469,51.85661951,7,15,10,0,9,3,0,16
,,,,,,,,,,,,,,
2014,2,DSC_2846,-5.859996564,-4.430494845,0.78206625,58.30836262,15,6,0,0,0,0,0,24
,,,,,,,,,,,,,,
2014,2,DSC_2875,-2.474969072,-1.252453608,0.774345524,53.38898326,9,14,0,0,5,0,0,45
,,,,,,,,,,,,,,
2014,2,DSC_2823,-8.54467354,-6.951010309,0.817103156,51.24216779,8,15,11,0,11,0,0,16
,,,,,,,,,,,,,,
2014,2,DSC_2847,-5.743271478,-4.320907216,0.780542906,58.61558848,15,12,0,0,0,0,0,35
,,,,,,,,,,,,,,
2014,2,DSC_2864,-3.758945017,-2.457917526,0.768640571,58.01102589,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,2,DSC_2877,-2.2415189,-1.033278351,0.775922673,52.46780632,11,15,0,0,5,0,0,22
,,,,,,,,,,,,,,
2014,2,DSC_2892,-0.490642612,0.610536082,0.790391037,46.5660174,10,15,1,0,4,0,0,21
,,,,,,,,,,,,,,
2014,2,DSC_2883,-1.541168385,-0.375752577,0.780654119,49.70427548,11,15,0,0,2,0,0,15
,,,,,,,,,,,,,,
2014,2,DSC_2814,-9.595199313,-7.937298969,0.83081325,48.47713503,15,4,0,0,0,0,0,23
,,,,,,,,,,,,,,
2014,2,DSC_2816,-9.361749141,-7.718123711,0.827766562,49.09158675,15,1,0,0,0,0,0,17
,,,,,,,,,,,,,,
2014,2,DSC_2840,-6.560347079,-5.088020619,0.791206312,56.46500745,15,1,0,0,0,0,0,17
,,,,,,,,,,,,,,
2014,2,DSC_2901,0.559883162,1.596824742,0.811071098,47.6024607,4,15,0,0,1,1,0,3
,,,,,,,,,,,,,,
2014,2,DSC_2873,-2.708419244,-1.471628866,0.772768376,54.31016021,12,15,1,0,3,0,0,37
,,,,,,,,,,,,,,
2014,2,DSC_2806,-10.529,-8.814,0.843,46.01932812,8,15,10,0,9,2,0,16
,,,,,,,,,,,,,,
2014,2,DSC_2818,-9.128298969,-7.498948454,0.824719875,49.70603848,11,7,0,0,0,0,0,44
,,,,,,,,,,,,,,
2014,2,DSC_2819,-9.011573883,-7.389360825,0.823196531,50.01326434,5,15,0,0,0,0,0,61
,,,,,,,,,,,,,,
2014,2,DSC_2890,-0.724092784,0.391360825,0.786174139,46.48015617,10,15,0,0,4,0,0,23
,,,,,,,,,,,,,,
2014,2,DSC_2884,-1.424443299,-0.266164948,0.781442693,49.24368701,11,15,0,0,2,0,0,16
,,,,,,,,,,,,,,
2014,2,DSC_2870,-3.058594502,-1.800391753,0.770402653,55.69192563,15,15,0,0,0,0,0,50
,,,,,,,,,,,,,,
2014,2,DSC_2872,-2.82514433,-1.581216495,0.771979802,54.77074868,11,14,0,0,0,0,0,45
,,,,,,,,,,,,,,
2014,2,DSC_2888,-0.957542955,0.172185567,0.784596991,47.40133312,10,15,0,0,2,0,0,14
,,,,,,,,,,,,,,
2014,2,DSC_2838,-6.793797251,-5.307195876,0.794253,55.85055572,7,14,1,0,0,0,1,44
,,,,,,,,,,,,,,
2014,2,DSC_2902,0.676608247,1.706412371,0.813368882,47.71762106,9,15,2,0,2,1,0,5
,,,,,,,,,,,,,,
2014,2,DSC_2839,-6.677072165,-5.197608247,0.792729656,56.15778158,12,10,0,0,0,0,0,37
,,,,,,,,,,,,,,
2014,2,DSC_2829,-7.844323024,-6.293484536,0.807963094,53.08552296,13,5,12,1,11,0,0,1
,,,,,,,,,,,,,,
2014,2,DSC_2869,-3.175319588,-1.909979381,0.769614079,56.1525141,15,15,0,0,0,0,0,47
,,,,,,,,,,,,,,
2014,2,DSC_2882,-1.657893471,-0.485340206,0.779865545,50.16486395,11,15,0,0,2,0,0,11
,,,,,,,,,,,,,,
2014,2,DSC_2842,-6.326896907,-4.868845361,0.788159625,57.07945917,15,0,0,0,0,0,0,21
,,,,,,,,,,,,,,
2014,2,DSC_2822,-8.661398625,-7.060597938,0.8186265,50.93494192,10,15,4,0,10,1,0,24
,,,,,,,,,,,,,,
2014,2,DSC_2894,-0.25719244,0.82971134,0.794986606,46.79633813,11,15,2,0,2,0,0,15
,,,,,,,,,,,,,,
2014,2,DSC_2881,-1.774618557,-0.594927835,0.77907697,50.62545243,13,15,3,0,3,0,0,29
,,,,,,,,,,,,,,
2014,2,DSC_2808,-10.29554983,-8.594824742,0.839953312,46.63377985,14,15,1,0,6,0,0,41
,,,,,,,,,,,,,,
2014,2,DSC_2857,-4.576020619,-3.225030928,0.768877864,60.20194445,15,1,0,0,0,0,0,23
,,,,,,,,,,,,,,
2014,2,DSC_2828,-7.96104811,-6.403072165,0.809486437,52.7782971,13,5,9,2,14,0,0,2
,,,,,,,,,,,,,,
2014,2,DSC_2856,-4.692745704,-3.334618557,0.768911763,60.51493282,15,3,0,0,0,0,0,13
,,,,,,,,,,,,,,
2014,2,DSC_2858,-4.459295533,-3.115443299,0.768843965,59.88895609,14,1,0,0,0,0,1,11
,,,,,,,,,,,,,,
2014,2,DSC_2896,-0.023742268,1.048886598,0.799582175,47.02665886,8,15,5,0,4,0,0,10
,,,,,,,,,,,,,,
2014,2,DSC_2812,-9.828649485,-8.156474227,0.833859937,47.8626833,7,13,0,0,0,0,0,50
,,,,,,,,,,,,,,
2014,2,DSC_2889,-0.840817869,0.281773196,0.785385565,46.94074464,10,15,1,0,4,0,0,19
,,,,,,,,,,,,,,
2014,2,DSC_2852,-5.159646048,-3.772969072,0.772926187,60.15171779,15,9,1,0,3,0,0,40
,,,,,,,,,,,,,,
2014,2,DSC_2885,-1.307718213,-0.15657732,0.782231268,48.78309854,10,15,0,0,3,0,0,18
,,,,,,,,,,,,,,
2014,2,DSC_2807,-10.41227491,-8.704412371,0.841476656,46.32655399,11,14,3,0,8,0,0,37
,,,,,,,,,,,,,,
2014,2,DSC_2855,-4.80947079,-3.444206186,0.768945662,60.82792118,15,7,0,0,0,0,0,12
,,,,,,,,,,,,,,
2014,2,DSC_2835,-7.143972509,-5.635958763,0.798823031,54.92887813,14,14,1,0,3,0,0,46
,,,,,,,,,,,,,,
2014,2,DSC_2876,-2.358243986,-1.142865979,0.775134099,52.92839479,10,15,0,0,3,1,0,36
,,,,,,,,,,,,,,
2014,2,DSC_2895,-0.140467354,0.939298969,0.79728439,46.9114985,13,15,3,0,3,0,0,18
,,,,,,,,,,,,,,
2014,2,DSC_2848,-5.626546392,-4.211319588,0.779019562,58.92281435,15,13,0,0,0,0,0,57
,,,,,,,,,,,,,,
2014,2,DSC_2851,-5.276371134,-3.882556701,0.774449531,59.84449193,13,12,0,0,2,0,0,44
,,,,,,,,,,,,,,
2014,2,DSC_2809,-10.17882474,-8.485237113,0.838429969,46.94100571,14,15,0,0,0,0,0,50
,,,,,,,,,,,,,,
2014,2,DSC_2898,0.209707904,1.268061856,0.804177744,47.2569796,4,15,1,0,0,0,0,15
,,,,,,,,,,,,,,
2014,2,DSC_2899,0.32643299,1.377649485,0.806475528,47.37213996,1,15,2,0,2,0,0,5
,,,,,,,,,,,,,,
2014,2,DSC_2887,-1.074268041,0.062597938,0.783808416,47.86192159,12,15,0,0,2,0,0,16
,,,,,,,,,,,,,,
2014,2,DSC_2874,-2.591694158,-1.362041237,0.77355695,53.84957174,12,14,0,0,3,0,0,39
,,,,,,,,,,,,,,
2014,2,DSC_2841,-6.443621993,-4.97843299,0.789682969,56.77223331,15,0,0,0,0,0,0,14
,,,,,,,,,,,,,,
2014,2,DSC_2821,-8.778123711,-7.170185567,0.820149844,50.62771606,15,14,0,0,4,2,0,35
,,,,,,,,,,,,,,
2014,2,DSC_2886,-1.190993127,-0.046989691,0.783019842,48.32251006,9,15,0,0,2,0,0,18
,,,,,,,,,,,,,,
2014,2,DSC_2903,0.793333333,1.816,0.815666667,47.83278143,5,15,0,0,1,1,0,4
,,,,,,,,,,,,,,
2014,2,DSC_2837,-6.910522337,-5.416783505,0.795776344,55.54332986,4,13,0,0,0,0,1,51
,,,,,,,,,,,,,,
2014,2,DSC_2817,-9.245024055,-7.608536082,0.826243219,49.39881261,15,2,0,0,1,0,0,18
,,,,,,,,,,,,,,
2014,2,DSC_2849,-5.509821306,-4.101731959,0.777496218,59.23004021,15,15,0,0,1,0,0,55
,,,,,,,,,,,,,,
2014,2,DSC_2811,-9.94537457,-8.266061856,0.835383281,47.55545744,6,15,0,0,0,0,0,73
,,,,,,,,,,,,,,
2014,2,DSC_2878,-2.124793814,-0.923690722,0.776711247,52.00721784,11,15,0,0,3,0,0,24
,,,,,,,,,,,,,,
2014,2,DSC_2810,-10.06209966,-8.375649485,0.836906625,47.24823158,8,14,0,0,0,0,0,71
,,,,,,,,,,,,,,
2014,2,DSC_2830,-7.727597938,-6.183896907,0.80643975,53.39274882,13,9,8,0,12,2,0,6
,,,,,,,,,,,,,,
2014,2,DSC_2868,-3.292044674,-2.01956701,0.768861474,56.66236718,14,14,0,0,0,0,0,31
,,,,,,,,,,,,,,
2014,2,DSC_2900,0.443158076,1.487237113,0.808773313,47.48730033,4,15,1,0,2,0,0,11
,,,,,,,,,,,,,,
2014,3,DSC_2969,-11.16913426,-8.188268519,0.82245457,49.11731872,12,14,6,0,9,0,0,16
,,,,,,,,,,,,,,
2014,3,DSC_2962,-9.702796296,-6.893592593,0.7945491,56.40981588,15,14,0,0,0,0,0,27
,,,,,,,,,,,,,,
2014,3,DSC_2922,-1.323722222,0.504555556,0.778377423,47.36029052,15,15,0,0,0,0,0,59
,,,,,,,,,,,,,,
2014,3,DSC_2925,-1.952152778,-0.050305556,0.773937177,49.76279982,13,14,0,0,0,0,0,37
,,,,,,,,,,,,,,
2014,3,DSC_2979,-13.26390278,-10.03780556,0.870013001,45.88061317,11,0,11,3,15,0,0,12
,,,,,,,,,,,,,,
2014,3,DSC_2961,-9.493319444,-6.708638889,0.789568487,58.03204262,15,13,0,0,0,0,0,15
,,,,,,,,,,,,,,
2014,3,DSC_2918,-0.485814815,1.24437037,0.792277643,47.20119504,9,15,0,0,4,0,0,26
,,,,,,,,,,,,,,
2014,3,DSC_2967,-10.75018056,-7.818361111,0.818060828,49.11105172,14,14,6,0,7,1,0,22
,,,,,,,,,,,,,,
2014,3,DSC_2947,-6.560643519,-4.119287037,0.761595415,64.30394166,15,6,0,0,0,0,0,40
,,,,,,,,,,,,,,
2014,3,DSC_2968,-10.95965741,-8.003314815,0.820257699,49.11418522,13,14,6,1,9,0,0,38
,,,,,,,,,,,,,,
2014,3,DSC_2963,-9.912273148,-7.078546296,0.799529713,54.78758914,14,11,0,0,2,0,0,47
,,,,,,,,,,,,,,
2014,3,DSC_2942,-5.513259259,-3.194518519,0.761766253,61.56918727,9,0,0,0,0,0,6,6
,,,,,,,,,,,,,,
2014,3,DSC_2948,-6.77012037,-4.304240741,0.761561248,64.85089254,15,6,0,0,2,0,0,42
,,,,,,,,,,,,,,
2014,3,DSC_2910,1.19,2.724,0.825,48.7606664,9,15,0,0,2,0,0,4
,,,,,,,,,,,,,,
2014,3,DSC_2956,-8.445935185,-5.78387037,0.76466542,66.14317632,15,0,0,0,0,0,0,9
,,,,,,,,,,,,,,
2014,3,DSC_2939,-4.884828704,-2.639657407,0.761868756,59.92833464,3,0,0,0,0,0,12,2
,,,,,,,,,,,,,,
2014,3,DSC_2977,-12.84494907,-9.667898148,0.861799446,45.32613858,13,0,9,1,15,0,0,9
,,,,,,,,,,,,,,
2014,3,DSC_2973,-12.00704167,-8.928083333,0.841063948,45.20365579,12,11,3,0,14,0,0,22
,,,,,,,,,,,,,,
2014,3,DSC_2954,-8.026981481,-5.413962963,0.761394066,67.56982108,15,0,0,0,1,0,0,17
,,,,,,,,,,,,,,
2014,3,DSC_2936,-4.256398148,-2.084796296,0.761971258,58.28748201,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,3,DSC_2917,-0.276337963,1.429324074,0.796367938,47.39612896,11,15,0,0,1,0,0,33
,,,,,,,,,,,,,,
2014,3,DSC_2931,-3.209013889,-1.160027778,0.765056684,54.56781843,1,0,0,0,0,0,14,1
,,,,,,,,,,,,,,
2014,3,DSC_2930,-2.999537037,-0.975074074,0.766536766,53.766982,6,5,0,0,0,0,9,10
,,,,,,,,,,,,,,
2014,3,DSC_2920,-0.904768519,0.874462963,0.784097054,46.8113272,9,15,0,0,1,0,0,26
,,,,,,,,,,,,,,
2014,3,DSC_2913,0.561569444,2.169138889,0.812729116,48.17586464,3,14,2,0,3,0,0,10
,,,,,,,,,,,,,,
2014,3,DSC_2928,-2.580583333,-0.605166667,0.76949693,52.16530913,9,9,0,0,0,0,5,14
,,,,,,,,,,,,,,
2014,3,DSC_2951,-7.398550926,-4.859101852,0.761458745,66.49174517,15,2,0,0,4,0,0,16
,,,,,,,,,,,,,,
2014,3,DSC_2921,-1.11424537,0.689509259,0.78000676,46.61639328,11,15,0,0,0,0,0,42
,,,,,,,,,,,,,,
2014,3,DSC_2980,-13.47337963,-10.22275926,0.874119778,46.15785047,6,1,13,5,15,0,0,13
,,,,,,,,,,,,,,
2014,3,DSC_2949,-6.979597222,-4.489194444,0.76152708,65.39784342,15,6,0,0,2,0,0,26
,,,,,,,,,,,,,,
2014,3,DSC_2916,-0.066861111,1.614277778,0.800458233,47.59106288,11,15,5,0,0,0,0,30
,,,,,,,,,,,,,,
2014,3,DSC_2976,-12.63547222,-9.482944444,0.857692668,45.04890129,11,0,12,0,15,0,0,6
,,,,,,,,,,,,,,
2014,3,DSC_2971,-11.58808796,-8.558175926,0.831173712,47.08695545,10,14,9,0,13,0,0,26
,,,,,,,,,,,,,,
2014,3,DSC_2946,-6.351166667,-3.934333333,0.761629583,63.75699078,13,6,0,0,1,0,1,26
,,,,,,,,,,,,,,
2014,3,DSC_2974,-12.21651852,-9.113037037,0.847071602,45.04566054,10,2,10,3,15,0,0,10
,,,,,,,,,,,,,,
2014,3,DSC_2953,-7.81750463,-5.229009259,0.76139041,67.58564693,15,0,0,0,1,0,0,9
,,,,,,,,,,,,,,
2014,3,DSC_2924,-1.742675926,0.134648148,0.775417259,48.96196339,12,14,0,0,1,0,0,59
,,,,,,,,,,,,,,
2014,3,DSC_2926,-2.16162963,-0.235259259,0.772457094,50.56363626,10,14,0,0,0,0,1,30
,,,,,,,,,,,,,,
2014,3,DSC_2934,-3.837444444,-1.714888889,0.763102307,59.56575625,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,3,DSC_2941,-5.303782407,-3.009564815,0.761800421,61.02223639,8,0,0,0,0,0,8,3
,,,,,,,,,,,,,,
2014,3,DSC_2955,-8.236458333,-5.598916667,0.761415113,67.29523481,15,0,0,0,0,0,0,18
,,,,,,,,,,,,,,
2014,3,DSC_2932,-3.418490741,-1.344981481,0.763935104,55.85966106,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,3,DSC_2959,-9.074365741,-6.338731481,0.77960726,61.2764961,12,5,0,0,0,0,1,16
,,,,,,,,,,,,,,
2014,3,DSC_2927,-2.371106481,-0.420212963,0.770977012,51.36447269,11,13,0,0,0,0,2,23
,,,,,,,,,,,,,,
2014,3,DSC_2911,0.980523148,2.539046296,0.820909705,48.56573248,6,15,5,0,3,0,0,8
,,,,,,,,,,,,,,
2014,3,DSC_2919,-0.695291667,1.059416667,0.788187349,47.00626112,10,15,0,0,5,0,0,43
,,,,,,,,,,,,,,
2014,3,DSC_2975,-12.42599537,-9.297990741,0.853079255,44.8876653,12,0,14,2,15,0,0,12
,,,,,,,,,,,,,,
2014,3,DSC_2937,-4.465875,-2.26975,0.761937091,58.83443288,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,3,DSC_2978,-13.05442593,-9.852851852,0.865906223,45.60337588,13,0,11,2,15,0,0,12
,,,,,,,,,,,,,,
2014,3,DSC_2957,-8.655412037,-5.968824074,0.769646033,64.52094958,15,0,0,0,0,0,0,11
,,,,,,,,,,,,,,
2014,3,DSC_2914,0.352092593,1.984185185,0.808638822,47.98093072,2,15,2,0,1,0,0,13
,,,,,,,,,,,,,,
2014,3,DSC_2982,-13.89233333,-10.59266667,0.882333333,46.71232506,4,0,9,3,15,0,0,7
,,,,,,,,,,,,,,
2014,3,DSC_2940,-5.094305556,-2.824611111,0.761834588,60.47528552,6,0,0,0,0,0,9,6
,,,,,,,,,,,,,,
2014,3,DSC_2944,-5.932212963,-3.564425926,0.761697918,62.66308903,11,3,0,0,0,0,4,13
,,,,,,,,,,,,,,
2014,3,DSC_2964,-10.12175,-7.2635,0.804510327,53.1653624,12,13,1,0,5,0,0,46
,,,,,,,,,,,,,,
2014,3,DSC_2965,-10.33122685,-7.448453704,0.80949094,51.54313567,14,13,1,0,8,1,0,32
,,,,,,,,,,,,,,
2014,3,DSC_2945,-6.141689815,-3.74937963,0.76166375,63.2100399,13,4,1,0,0,0,2,15
,,,,,,,,,,,,,,
2014,3,DSC_2943,-5.722736111,-3.379472222,0.761732085,62.11613815,10,1,0,0,0,0,5,6
,,,,,,,,,,,,,,
2014,3,DSC_2960,-9.283842593,-6.523685185,0.784587873,59.65426936,12,10,0,0,0,0,0,26
,,,,,,,,,,,,,,
2014,3,DSC_2935,-4.046921296,-1.899842593,0.762488973,58.81989829,0,0,0,0,0,0,15,1
,,,,,,,,,,,,,,
2014,3,DSC_2923,-1.533199074,0.319601852,0.776897341,48.16112695,10,15,0,0,1,0,0,53
,,,,,,,,,,,,,,
2014,3,DSC_2958,-8.864888889,-6.153777778,0.774626647,62.89872284,14,1,0,0,0,0,1,4
,,,,,,,,,,,,,,
2014,3,DSC_2981,-13.68285648,-10.40771296,0.878226556,46.43508776,6,0,10,7,15,0,0,15
,,,,,,,,,,,,,,
2014,3,DSC_2929,-2.790060185,-0.79012037,0.768016848,52.96614556,9,8,0,0,0,0,5,13
,,,,,,,,,,,,,,
2014,3,DSC_2938,-4.675351852,-2.454703704,0.761902923,59.38138376,1,0,0,0,0,0,14,1
,,,,,,,,,,,,,,
2014,3,DSC_2970,-11.37861111,-8.373222222,0.826517606,48.24176157,11,13,6,0,11,0,0,37
,,,,,,,,,,,,,,
2014,3,DSC_2950,-7.189074074,-4.674148148,0.761492913,65.94479429,15,5,0,0,3,0,0,24
,,,,,,,,,,,,,,
2014,3,DSC_2915,0.142615741,1.799231481,0.804548527,47.7859968,1,15,0,0,0,0,0,2
,,,,,,,,,,,,,,
2014,3,DSC_2966,-10.5407037,-7.633407407,0.814471553,49.92090893,10,13,6,0,11,0,0,20
,,,,,,,,,,,,,,
2014,3,DSC_2972,-11.79756481,-8.74312963,0.835829817,45.93214933,7,15,3,0,13,0,0,31
,,,,,,,,,,,,,,
2014,3,DSC_2912,0.771046296,2.354092593,0.816819411,48.37079856,1,14,2,0,4,0,0,7
,,,,,,,,,,,,,,
2014,3,DSC_2952,-7.608027778,-5.044055556,0.761424577,67.03869605,15,0,0,0,3,0,0,27
,,,,,,,,,,,,,,
2014,4,DSC_3043,-3.697290598,-0.618324786,0.757616383,56.21241261,10,8,0,0,0,0,3,14
,,,,,,,,,,,,,,
2014,4,DSC_2990,-15.14211966,-11.08695726,0.893226478,46.44393741,13,1,8,0,15,0,0,7
,,,,,,,,,,,,,,
2014,4,DSC_3050,-2.185709402,0.764324786,0.766631766,48.41223521,14,15,0,0,0,0,0,49
,,,,,,,,,,,,,,
2014,4,DSC_3063,0.621512821,3.332102564,0.80780194,49.19372215,7,15,1,0,11,1,0,22
,,,,,,,,,,,,,,
2014,4,DSC_3040,-4.345111111,-1.210888889,0.756476206,62.32557633,1,1,0,0,0,0,14,2
,,,,,,,,,,,,,,
2014,4,DSC_3013,-10.17549573,-6.543965812,0.787235919,55.32023882,15,0,0,0,2,0,0,13
,,,,,,,,,,,,,,
2014,4,DSC_2995,-14.0624188,-10.09935043,0.871292674,44.9067221,12,14,4,0,4,0,0,32
,,,,,,,,,,,,,,
2014,4,DSC_2989,-15.35805983,-11.28447863,0.897613239,46.75138047,12,0,12,0,14,0,0,16
,,,,,,,,,,,,,,
2014,4,DSC_3026,-7.368273504,-3.976188034,0.75451994,65.33509918,4,0,0,0,0,0,10,1
